K,Accuracy,ErrorRate
1,70.12987012987013,29.87012987012987
2,73.37662337662337,26.623376623376622
3,75.32467532467533,24.675324675324674
4,72.72727272727273,27.27272727272727
5,75.97402597402598,24.025974025974026
6,72.07792207792207,27.92207792207792
7,75.32467532467533,24.675324675324674
8,69.48051948051948,30.519480519480517
9,72.07792207792207,27.92207792207792
10,72.07792207792207,27.92207792207792
11,74.67532467532467,25.324675324675322
12,74.02597402597402,25.97402597402597
13,75.97402597402598,24.025974025974026
14,75.32467532467533,24.675324675324674
15,74.67532467532467,25.324675324675322
16,73.37662337662337,26.623376623376622
17,74.02597402597402,25.97402597402597
18,74.67532467532467,25.324675324675322
19,74.67532467532467,25.324675324675322
20,74.02597402597402,25.97402597402597
21,74.67532467532467,25.324675324675322
22,75.32467532467533,24.675324675324674
23,75.32467532467533,24.675324675324674
24,76.62337662337663,23.376623376623375
25,75.32467532467533,24.675324675324674
26,75.97402597402598,24.025974025974026
27,75.32467532467533,24.675324675324674
28,75.97402597402598,24.025974025974026
29,75.97402597402598,24.025974025974026
30,77.92207792207793,22.07792207792208
31,75.97402597402598,24.025974025974026
32,76.62337662337663,23.376623376623375
33,74.67532467532467,25.324675324675322
34,75.97402597402598,24.025974025974026
35,75.97402597402598,24.025974025974026
36,75.97402597402598,24.025974025974026
37,76.62337662337663,23.376623376623375
38,75.97402597402598,24.025974025974026
39,75.97402597402598,24.025974025974026
40,75.32467532467533,24.675324675324674
41,75.32467532467533,24.675324675324674
42,76.62337662337663,23.376623376623375
43,75.32467532467533,24.675324675324674
44,75.97402597402598,24.025974025974026
45,75.97402597402598,24.025974025974026
46,75.97402597402598,24.025974025974026
47,74.67532467532467,25.324675324675322
48,75.32467532467533,24.675324675324674
49,74.67532467532467,25.324675324675322
50,74.02597402597402,25.97402597402597
51,74.67532467532467,25.324675324675322
52,75.97402597402598,24.025974025974026
53,75.97402597402598,24.025974025974026
54,75.32467532467533,24.675324675324674
55,75.97402597402598,24.025974025974026
56,75.32467532467533,24.675324675324674
57,75.32467532467533,24.675324675324674
58,75.97402597402598,24.025974025974026
59,75.97402597402598,24.025974025974026
60,77.92207792207793,22.07792207792208
61,76.62337662337663,23.376623376623375
62,77.27272727272727,22.727272727272727
63,78.57142857142857,21.428571428571427
64,79.87012987012987,20.12987012987013
65,77.27272727272727,22.727272727272727
66,75.32467532467533,24.675324675324674
67,75.97402597402598,24.025974025974026
68,76.62337662337663,23.376623376623375
69,75.32467532467533,24.675324675324674
70,75.97402597402598,24.025974025974026
71,75.32467532467533,24.675324675324674
72,75.32467532467533,24.675324675324674
73,74.67532467532467,25.324675324675322
74,75.32467532467533,24.675324675324674
75,74.67532467532467,25.324675324675322
76,74.67532467532467,25.324675324675322
77,74.67532467532467,25.324675324675322
78,74.02597402597402,25.97402597402597
79,74.02597402597402,25.97402597402597
80,74.02597402597402,25.97402597402597
81,72.72727272727273,27.27272727272727
82,73.37662337662337,26.623376623376622
83,72.72727272727273,27.27272727272727
84,73.37662337662337,26.623376623376622
85,72.72727272727273,27.27272727272727
86,72.72727272727273,27.27272727272727
87,72.07792207792207,27.92207792207792
88,72.07792207792207,27.92207792207792
89,72.07792207792207,27.92207792207792
90,71.42857142857143,28.57142857142857
91,70.77922077922078,29.22077922077922
92,70.77922077922078,29.22077922077922
93,70.12987012987013,29.87012987012987
94,70.77922077922078,29.22077922077922
95,70.77922077922078,29.22077922077922
96,71.42857142857143,28.57142857142857
97,71.42857142857143,28.57142857142857
98,71.42857142857143,28.57142857142857
99,72.07792207792207,27.92207792207792
100,72.72727272727273,27.27272727272727
