K,Accuracy,ErrorRate
1,72.07792207792207,27.92207792207792
2,70.77922077922078,29.22077922077922
3,78.57142857142857,21.428571428571427
4,77.27272727272727,22.727272727272727
5,76.62337662337663,23.376623376623375
6,73.37662337662337,26.623376623376622
7,74.02597402597402,25.97402597402597
8,75.32467532467533,24.675324675324674
9,71.42857142857143,28.57142857142857
10,72.07792207792207,27.92207792207792
11,71.42857142857143,28.57142857142857
12,74.02597402597402,25.97402597402597
13,73.37662337662337,26.623376623376622
14,72.72727272727273,27.27272727272727
15,75.97402597402598,24.025974025974026
16,75.97402597402598,24.025974025974026
17,75.97402597402598,24.025974025974026
18,75.32467532467533,24.675324675324674
19,76.62337662337663,23.376623376623375
20,78.57142857142857,21.428571428571427
21,75.97402597402598,24.025974025974026
22,77.92207792207793,22.07792207792208
23,76.62337662337663,23.376623376623375
24,78.57142857142857,21.428571428571427
25,75.97402597402598,24.025974025974026
26,77.27272727272727,22.727272727272727
27,76.62337662337663,23.376623376623375
28,75.32467532467533,24.675324675324674
29,77.27272727272727,22.727272727272727
30,77.27272727272727,22.727272727272727
31,75.32467532467533,24.675324675324674
32,76.62337662337663,23.376623376623375
33,74.67532467532467,25.324675324675322
34,75.32467532467533,24.675324675324674
35,76.62337662337663,23.376623376623375
36,77.92207792207793,22.07792207792208
37,77.92207792207793,22.07792207792208
38,77.27272727272727,22.727272727272727
39,77.27272727272727,22.727272727272727
40,78.57142857142857,21.428571428571427
41,78.57142857142857,21.428571428571427
42,78.57142857142857,21.428571428571427
43,77.27272727272727,22.727272727272727
44,77.92207792207793,22.07792207792208
45,77.27272727272727,22.727272727272727
46,77.92207792207793,22.07792207792208
47,76.62337662337663,23.376623376623375
48,77.27272727272727,22.727272727272727
49,76.62337662337663,23.376623376623375
50,77.27272727272727,22.727272727272727
51,75.32467532467533,24.675324675324674
52,75.97402597402598,24.025974025974026
53,76.62337662337663,23.376623376623375
54,75.32467532467533,24.675324675324674
55,74.02597402597402,25.97402597402597
56,75.32467532467533,24.675324675324674
57,75.32467532467533,24.675324675324674
58,75.97402597402598,24.025974025974026
59,72.72727272727273,27.27272727272727
60,74.02597402597402,25.97402597402597
61,74.02597402597402,25.97402597402597
62,73.37662337662337,26.623376623376622
63,74.67532467532467,25.324675324675322
64,76.62337662337663,23.376623376623375
65,76.62337662337663,23.376623376623375
66,76.62337662337663,23.376623376623375
67,76.62337662337663,23.376623376623375
68,76.62337662337663,23.376623376623375
69,75.97402597402598,24.025974025974026
70,75.97402597402598,24.025974025974026
71,77.92207792207793,22.07792207792208
72,76.62337662337663,23.376623376623375
73,77.92207792207793,22.07792207792208
74,75.97402597402598,24.025974025974026
75,77.27272727272727,22.727272727272727
76,75.32467532467533,24.675324675324674
77,75.97402597402598,24.025974025974026
78,75.97402597402598,24.025974025974026
79,76.62337662337663,23.376623376623375
80,76.62337662337663,23.376623376623375
81,75.32467532467533,24.675324675324674
82,77.92207792207793,22.07792207792208
83,75.97402597402598,24.025974025974026
84,76.62337662337663,23.376623376623375
85,75.32467532467533,24.675324675324674
86,75.97402597402598,24.025974025974026
87,75.97402597402598,24.025974025974026
88,75.97402597402598,24.025974025974026
89,75.97402597402598,24.025974025974026
90,76.62337662337663,23.376623376623375
91,75.97402597402598,24.025974025974026
92,75.97402597402598,24.025974025974026
93,76.62337662337663,23.376623376623375
94,75.97402597402598,24.025974025974026
95,76.62337662337663,23.376623376623375
96,75.32467532467533,24.675324675324674
97,75.97402597402598,24.025974025974026
98,76.62337662337663,23.376623376623375
99,76.62337662337663,23.376623376623375
100,76.62337662337663,23.376623376623375
