K,Accuracy,ErrorRate
1,64.453125,35.546875
2,61.328125,38.671875
3,68.359375,31.640625
4,67.1875,32.8125
5,70.3125,29.6875
6,68.359375,31.640625
7,69.921875,30.078125
8,69.921875,30.078125
9,69.53125,30.46875
10,69.921875,30.078125
11,70.703125,29.296875
12,70.703125,29.296875
13,69.140625,30.859375
14,70.703125,29.296875
15,69.921875,30.078125
16,67.96875,32.03125
17,70.703125,29.296875
18,69.140625,30.859375
19,71.09375,28.90625
20,71.484375,28.515625
21,70.3125,29.6875
22,70.3125,29.6875
23,73.046875,26.953125
24,71.875,28.125
25,71.484375,28.515625
26,70.703125,29.296875
27,71.875,28.125
28,71.484375,28.515625
29,71.09375,28.90625
30,71.484375,28.515625
31,72.265625,27.734375
32,70.703125,29.296875
33,70.3125,29.6875
34,71.875,28.125
35,71.875,28.125
36,72.65625,27.34375
37,72.65625,27.34375
38,73.4375,26.5625
39,71.484375,28.515625
40,74.21875,25.78125
41,71.484375,28.515625
42,72.265625,27.734375
43,71.09375,28.90625
44,72.265625,27.734375
45,71.09375,28.90625
46,71.484375,28.515625
47,71.09375,28.90625
48,71.09375,28.90625
49,71.484375,28.515625
50,71.484375,28.515625
51,71.09375,28.90625
52,71.484375,28.515625
53,71.09375,28.90625
54,71.484375,28.515625
55,71.484375,28.515625
56,71.875,28.125
57,71.484375,28.515625
58,72.265625,27.734375
59,72.265625,27.734375
60,73.4375,26.5625
61,72.265625,27.734375
62,72.265625,27.734375
63,71.875,28.125
64,72.265625,27.734375
65,72.65625,27.34375
66,72.65625,27.34375
67,71.484375,28.515625
68,70.3125,29.6875
69,69.921875,30.078125
70,69.53125,30.46875
71,69.921875,30.078125
72,69.921875,30.078125
73,69.140625,30.859375
74,69.140625,30.859375
75,69.921875,30.078125
76,69.53125,30.46875
77,69.140625,30.859375
78,69.921875,30.078125
79,69.53125,30.46875
80,69.921875,30.078125
81,71.09375,28.90625
82,70.703125,29.296875
83,70.3125,29.6875
84,70.703125,29.296875
85,70.703125,29.296875
86,69.921875,30.078125
87,69.53125,30.46875
88,69.921875,30.078125
89,69.140625,30.859375
90,69.140625,30.859375
91,68.359375,31.640625
92,69.140625,30.859375
93,68.75,31.25
94,68.359375,31.640625
95,67.96875,32.03125
96,67.96875,32.03125
97,67.96875,32.03125
98,67.96875,32.03125
99,69.140625,30.859375
100,69.53125,30.46875
101,68.75,31.25
102,67.96875,32.03125
103,68.75,31.25
104,68.359375,31.640625
105,68.359375,31.640625
106,68.359375,31.640625
107,68.359375,31.640625
108,68.359375,31.640625
109,68.359375,31.640625
110,68.359375,31.640625
111,67.96875,32.03125
112,68.75,31.25
113,68.75,31.25
114,68.75,31.25
115,68.359375,31.640625
116,68.359375,31.640625
117,67.578125,32.421875
118,68.75,31.25
119,67.1875,32.8125
120,66.796875,33.203125
121,66.015625,33.984375
122,66.015625,33.984375
123,65.625,34.375
124,67.578125,32.421875
125,67.578125,32.421875
126,67.1875,32.8125
127,67.578125,32.421875
128,67.1875,32.8125
129,67.578125,32.421875
130,66.796875,33.203125
131,66.015625,33.984375
132,67.96875,32.03125
133,65.234375,34.765625
134,66.015625,33.984375
135,65.625,34.375
136,66.796875,33.203125
137,64.453125,35.546875
138,64.84375,35.15625
139,63.28125,36.71875
140,63.28125,36.71875
141,63.28125,36.71875
142,63.28125,36.71875
143,63.671875,36.328125
144,63.28125,36.71875
145,62.890625,37.109375
146,62.890625,37.109375
147,63.28125,36.71875
148,63.28125,36.71875
149,63.671875,36.328125
150,63.671875,36.328125
151,63.28125,36.71875
152,63.28125,36.71875
153,63.28125,36.71875
154,63.28125,36.71875
155,63.28125,36.71875
156,63.28125,36.71875
157,63.28125,36.71875
158,63.28125,36.71875
159,63.28125,36.71875
160,63.28125,36.71875
161,63.28125,36.71875
162,63.28125,36.71875
163,63.28125,36.71875
164,63.28125,36.71875
165,63.28125,36.71875
166,63.28125,36.71875
167,63.28125,36.71875
168,63.28125,36.71875
169,63.28125,36.71875
170,63.28125,36.71875
171,63.28125,36.71875
172,63.28125,36.71875
173,63.28125,36.71875
174,63.28125,36.71875
175,63.28125,36.71875
176,63.28125,36.71875
177,63.28125,36.71875
178,63.28125,36.71875
179,63.28125,36.71875
180,63.28125,36.71875
181,63.28125,36.71875
182,63.28125,36.71875
183,63.28125,36.71875
184,63.28125,36.71875
185,63.28125,36.71875
186,63.28125,36.71875
187,63.28125,36.71875
188,63.28125,36.71875
189,63.28125,36.71875
190,63.28125,36.71875
191,63.28125,36.71875
192,63.28125,36.71875
193,63.28125,36.71875
194,63.28125,36.71875
195,63.28125,36.71875
196,63.28125,36.71875
197,63.28125,36.71875
198,63.28125,36.71875
199,63.28125,36.71875
200,63.28125,36.71875
