K,Accuracy,ErrorRate
1,72.07792208,27.92207792
2,70.77922078,29.22077922
3,78.57142857,21.42857143
4,77.27272727,22.72727273
5,76.62337662,23.37662338
6,73.37662338,26.62337662
7,74.02597403,25.97402597
8,75.32467532,24.67532468
9,71.42857143,28.57142857
10,72.07792208,27.92207792
11,71.42857143,28.57142857
12,74.02597403,25.97402597
13,73.37662338,26.62337662
14,72.72727273,27.27272727
15,75.97402597,24.02597403
16,75.97402597,24.02597403
17,75.97402597,24.02597403
18,75.32467532,24.67532468
19,76.62337662,23.37662338
20,78.57142857,21.42857143
21,75.97402597,24.02597403
22,77.92207792,22.07792208
23,76.62337662,23.37662338
24,78.57142857,21.42857143
25,75.97402597,24.02597403
26,77.27272727,22.72727273
27,76.62337662,23.37662338
28,75.32467532,24.67532468
29,77.27272727,22.72727273
30,77.27272727,22.72727273
